;ID              	Node1           	Node2           	Length      	Diameter    	Roughness   	MinorLoss   	Status
 115             	74              	73              	127.000000  	8.000000    	140.000000  	0.000000    	Open  	;
 116             	72              	75              	928.000000  	7.999947    	139.000000  	0.000000    	Open  	;
 117             	75              	74              	336.000000  	8.000000    	139.000000  	0.000000    	Open  	;
 118             	75              	76              	772.000000  	8.000000    	139.000000  	0.000000    	Open  	;
 119             	76              	77              	417.000000  	8.000000    	139.000000  	0.000000    	Open  	;
 120             	77              	73              	655.000000  	10.000000   	139.000000  	0.000000    	Open  	;
 121             	76              	78              	167.000000  	8.000000    	139.000000  	0.000000    	Open  	;
 122             	78              	79              	169.000000  	8.000000    	139.000000  	0.000000    	Open  	;
 123             	79              	80              	195.000000  	10.000000   	139.000000  	0.000000    	Open  	;
 124             	80              	81              	333.000000  	10.000000   	139.000000  	0.000000    	Open  	;
 125             	81              	77              	60.000000   	10.000000   	139.000000  	0.000000    	Open  	;
 126             	78              	71              	895.000000  	8.000000    	139.000000  	0.000000    	Open  	;
 127             	80              	82              	372.000000  	8.000000    	139.000000  	0.000000    	Open  	;
 128             	82              	83              	205.000000  	8.000000    	139.000000  	0.000000    	Open  	;
 129             	83              	84              	430.000000  	8.000000    	139.000000  	0.000000    	Open  	;
 130             	84              	81              	152.000000  	8.000000    	139.000000  	0.000000    	Open  	;
 131             	84              	83              	1586.000000 	7.999947    	139.000000  	0.000000    	Open  	;
 132             	82              	85              	174.000000  	8.000000    	139.000000  	0.000000    	Open  	;
 133             	85              	86              	456.000000  	8.000000    	139.000000  	0.000000    	Open  	;
 134             	86              	87              	341.000000  	8.000000    	139.000000  	0.000000    	Open  	;
 135             	87              	85              	507.000000  	8.000000    	139.000000  	0.000000    	Open  	;
 136             	87              	88              	195.000000  	8.000000    	139.000000  	0.000000    	Open  	;
 137             	88              	79              	250.000000  	10.000000   	139.000000  	0.000000    	Open  	;
 138             	88              	89              	191.000000  	10.000000   	139.000000  	0.000000    	Open  	;
 139             	89              	86              	926.000000  	7.999947    	140.000000  	0.000000    	Open  	;
 140             	89              	90              	464.000000  	10.000000   	139.000000  	0.000000    	Open  	;
 141             	90              	91              	178.000000  	10.000000   	139.000000  	0.000000    	Open  	;
 142             	91              	92              	167.000000  	10.000000   	139.000000  	0.000000    	Open  	;
 143             	92              	33              	403.000000  	10.000000   	139.000000  	0.000000    	Open  	;
 144             	90              	93              	143.000000  	8.000000    	139.000000  	0.000000    	Open  	;
 145             	93              	94              	331.000000  	8.000000    	139.000000  	0.000000    	Open  	;
 146             	94              	92              	157.000000  	8.000000    	139.000000  	0.000000    	Open  	;
 147             	93              	94              	1805.000000 	7.999947    	139.000000  	0.000000    	Open  	;
 148             	92              	95              	177.000000  	8.000000    	139.000000  	0.000000    	Open  	;
 149             	95              	96              	332.000000  	8.000000    	139.000000  	0.000000    	Open  	;
 150             	96              	95              	1432.000000 	7.999947    	139.000000  	0.000000    	Open  	;
 151             	91              	97              	489.000000  	8.000000    	139.000000  	0.000000    	Open  	;
 152             	97              	96              	122.000000  	8.000000    	139.000000  	0.000000    	Open  	;
 153             	97              	98              	285.000000  	8.000000    	139.000000  	0.000000    	Open  	;
 154             	98              	99              	597.000000  	8.000000    	139.000000  	0.000000    	Open  	;
 155             	99              	100             	148.000000  	8.000000    	139.000000  	0.000000    	Open  	;
 156             	100             	101             	812.000000  	7.999900    	139.000000  	0.000000    	Open  	;
 157             	101             	98              	152.000000  	8.000000    	139.000000  	0.000000    	Open  	;
 158             	100             	101             	620.000000  	8.000000    	139.000000  	0.000000    	Open  	;
 159             	98              	99              	784.000000  	7.999947    	139.000000  	0.000000    	Open  	;
 160             	97              	71              	1214.000000 	8.000000    	139.000000  	0.000000    	Open  	;
 161             	45              	46              	718.000000  	10.000000   	138.000000  	0.000000    	Open  	;
 162             	46              	120             	315.000000  	10.000000   	138.000000  	0.000000    	Open  	;
 163             	119             	104             	76.000000   	10.000000   	138.000000  	0.000000    	Open  	;
 164             	103             	102             	930.000000  	12.000000   	140.000000  	0.000000    	Open  	;
 165             	102             	128             	559.000000  	16.000000   	140.000000  	0.000000    	Open  	;
 166             	29              	105             	169.000000  	11.974181   	140.000000  	800.000000  	Open  	;
 167             	106             	104             	84.000000   	8.000000    	138.000000  	0.000000    	Open  	;
 168             	103             	121             	291.000000  	12.000000   	140.000000  	0.000000    	Open  	;
 169             	103             	104             	4700.000000 	10.121698   	138.000000  	0.000000    	Open  	;
 170             	109             	110             	4700.000000 	10.121698   	138.000000  	0.000000    	Open  	;
 171             	119             	120             	4700.000000 	10.121698   	138.000000  	0.000000    	Open  	;
 172             	117             	118             	4700.000000 	10.121698   	138.000000  	0.000000    	Open  	;
 173             	123             	124             	4700.000000 	10.121698   	138.000000  	0.000000    	Open  	;
 174             	121             	122             	4700.000000 	10.121698   	138.000000  	0.000000    	Open  	;
 175             	107             	125             	4700.000000 	10.121698   	138.000000  	0.000000    	Open  	;
 176             	113             	114             	4700.000000 	10.121698   	138.000000  	0.000000    	Open  	;
 177             	111             	112             	4700.000000 	10.121698   	138.000000  	0.000000    	Open  	;
 178             	115             	116             	4700.000000 	10.121698   	138.000000  	0.000000    	Open  	;
